,be,bg,ca,cs,en,es,pl,ru,sl,tr,uk,gender
119,Віктар Франкл,Виктор Франкъл,Viktor Frankl,Viktor Frankl,Viktor Frankl,Viktor Frankl,Viktor Frankl,Виктор Франкл,Viktor Frankl,Viktor Emil Frankl,Віктор Франкл,m
120,Даг Хамаршэльд,Даг Хамаршелд,Dag Hammarskjöld,Dag Hammarskjöld,Dag Hammarskjöld,Dag Hammarskjöld,Dag Hammarskjöld,Даг Хаммаршёльд,Dag Hammarskjöld,Dag Hammarskjöld,Даґ Гаммаршельд,m
121,Макс Шмелінг,Макс Шмелинг,Max Schmeling,Max Schmeling,Max Schmeling,Max Schmeling,Max Schmeling,Макс Шмелинг,Max Schmeling,Max Schmeling,Макс Шмелінг,m
122,Міхаіл Шолахаў,Михаил Шолохов,Mikhaïl Xólokhov,Michail Alexandrovič Šolochov,Mikhail Sholokhov,Mijaíl Shólojov,Michaił Szołochow,Михаил Шолохов,Mihail Aleksandrovič Šolohov,Mihail Şolohov,Михайло Шолохов,m
123,Альберт Шпеер,Алберт Шпеер,Albert Speer,Albert Speer,Albert Speer,Albert Speer,Albert Speer,Альберт Шпеер,Albert Speer,Albert Speer,Альберт Шпеер,m
124,Ульф фон Эйлер,Улф фон Ойлер,Ulf von Euler,Ulf von Euler,Ulf von Euler,Ulf von Euler,Ulf von Euler,Ульф фон Эйлер,Ulf von Euler,Ulf von Euler,Ульф фон Ейлер,m
125,Арыстоцель Анасіс,Аристотел Онасис,Aristotelis Onassis,Aristoteles Onassis,Aristotle Onassis,Aristóteles Onassis,Aristotelis Onasis,Аристотель Онассис,Aristoteles Sokrates Homer Onassis,Aristotle Onassis,Аристотель Онассіс,m
126,Ганс Аспергер,Ханс Аспергер,Hans Asperger,Hans Asperger,Hans Asperger,Hans Asperger,Hans Asperger,Ганс Аспергер,Hans Asperger,Hans Asperger,Ганс Аспергер,m
127,Дзітрых Банхёфер,Дитрих Бонхьофер,Dietrich Bonhoeffer,Dietrich Bonhoeffer,Dietrich Bonhoeffer,Dietrich Bonhoeffer,Dietrich Bonhoeffer,Дитрих Бонхёффер,Dietrich Bonhoeffer,Dietrich Bonhoeffer,Дітріх Бонхеффер,m
128,Сэмюэл Бекет,Самюъл Бекет,Samuel Beckett,Samuel Beckett,Samuel Beckett,Samuel Beckett,Samuel Beckett,Сэмюэл Беккет,Samuel Beckett,Samuel Beckett,Семюел Бекет,m
129,Ханс Альбрэхт Бетэ,Ханс Бете,Hans Bethe,Hans Bethe,Hans Bethe,Hans Bethe,Hans Bethe,Ханс Бете,Hans Albrecht Bethe,Hans Bethe,Ганс Бете,m
130,Леанід Ільіч Брэжнеў,Леонид Брежнев,Leonid Bréjnev,Leonid Iljič Brežněv,Leonid Brezhnev,Leonid Brézhnev,Leonid Breżniew,Леонид Брежнев,Leonid Brežnjev,Leonid Brejnev,Леонід Ілліч Брежнєв,m
131,Курт Гёдэль,Курт Гьодел,Kurt Gödel,Kurt Gödel,Kurt Gödel,Kurt Gödel,Kurt Gödel,Курт Гёдель,Kurt Gödel,Kurt Gödel,Курт Гедель,m
132,Марыя Гёперт-Маер,Мария Гьоперт-Майер,Maria Göppert-Mayer,Maria Göppertová-Mayerová,Maria Goeppert Mayer,Maria Goeppert-Mayer,Maria Goeppert-Mayer,Мария Гёпперт-Майер,Maria Goeppert-Mayer,Maria Goeppert-Mayer,Марія Гепперт-Маєр,f
133,Філіп Джонсан,Филип Джонсън,Philip Johnson,Philip Johnson,Philip Johnson,Philip Johnson,Philip Johnson,Филип Джонсон,Philip Johnson,Philip Johnson,Філіп Джонсон,m
134,Макс Дэльбрук,Макс Делбрюк,Max Delbrück,Max Delbrück,Max Delbrück,Max Delbrück,Max Delbrück,Макс Дельбрюк,Max Delbrück,Max Delbrück,Макс Дельбрюк,m
135,Уладзімір Прэлаг,Владимир Прелог,Vladimir Prelog,Vladimir Prelog,Vladimir Prelog,Vladimir Prelog,Vladimir Prelog,Владимир Прелог,Vladimir Prelog,Vladimir Prelog,Владимир Прелог,m
136,Эрнст Аўгуст Руска,Ернст Руска,Ernst Ruska,Ernst Ruska,Ernst Ruska,Ernst Ruska,Ernst Ruska,Эрнст Август Руска,Ernst Ruska,Ernst Ruska,Ернст Руска,m
137,Леапольд Седар Сенгор,Леополд Седар Сенгор,Léopold Sédar Senghor,Léopold Sédar Senghor,Léopold Sédar Senghor,Léopold Sédar Senghor,Léopold Sédar Senghor,Леопольд Седар Сенгор,Léopold Sédar Senghor,Léopold Sédar Senghor,Леопольд Седар Сенгор,m
138,Сігэмару Такэнакосі,Шигемару Такенокоши,Shigemaru Takenokoshi,Šigemaru Takenokoši,Shigemaru Takenokoshi,Shigemaru Takenokoshi,Shigemaru Takenokoshi,Сигэмару Такэнокоси,Šigemaru Takenokoši,Shigemaru Takenokoshi,Такенокосі Сігемару,m
139,Сін’ітыра Таманага,Шиничиро Томонага,Sin-Itiro Tomonaga,Šin’ičiró Tomonaga,Shin'ichirō Tomonaga,Shin'ichirō Tomonaga,Shin’ichirō Tomonaga,Синъитиро Томонага,Šiničiro Tomonaga,Shin'ichirō Tomonaga,Томонага Синітіро,m
140,Клайд Уільям Томба,Клайд Томбо,Clyde William Tombaugh,Clyde Tombaugh,Clyde Tombaugh,Clyde Tombaugh,Clyde Tombaugh,Клайд Уильям Томбо,Clyde William Tombaugh,Clyde Tombaugh,Клайд Томбо,m
141,Алан Тэйлар,Алън Тейлър,A. J. P. Taylor,Alan John Percivale Taylor,A. J. P. Taylor,A. J. P. Taylor,A.J.P. Taylor,Алан Джон Персиваль Тейлор,Alan John Percival Taylor,A.J.P. Taylor,Алан Джон Персиваль Тейлор,m
142,Білі Уайлдэр,Били Уайлдър,Billy Wilder,Billy Wilder,Billy Wilder,Billy Wilder,Billy Wilder,Билли Уайлдер,Billy Wilder,Billy Wilder,Біллі Вайлдер,m
143,Джузэпэ Фарына,Джузепе Фарина,Giuseppe Farina,Giuseppe Farina,Giuseppe Farina,Giuseppe Farina,Giuseppe Farina,Джузеппе Фарина,Giuseppe Farina,Giuseppe Farina,Джузеппе Фаріна,m
144,Альберт Хофман,Алберт Хофман,Albert Hofmann,Albert Hofmann,Albert Hofmann,Albert Hofmann,Albert Hofmann,Альберт Хофман,Albert Hofmann,Albert Hofmann,Альберт Гофманн,m
145,Дзмітрый Шастаковіч,Дмитрий Шостакович,Dmitri Xostakóvitx,Dmitrij Šostakovič,Dmitri Shostakovich,Dmitri Shostakóvich,Dmitrij Szostakowicz,Дмитрий Шостакович,Dmitrij Šostakovič,Dmitri Şostakoviç,Дмитро Шостакович,m
146,Адольф Эйхман,Адолф Айхман,Adolf Eichmann,Adolf Eichmann,Adolf Eichmann,Adolf Eichmann,Adolf Eichmann,Адольф Эйхман,Adolf Eichmann,Adolf Eichmann,Адольф Айхман,m
147,Такэо Вакабаясі,Такео Вакабаяши,Takeo Wakabayashi,Takeo Wakabajaši,Takeo Wakabayashi,Takeo Wakabayashi,Takeo Wakabayashi,Такэо Вакабаяси,Takeo Vakabajaši,Takeo Wakabayashi,Вакабаясі Такео,m
148,Іаганес Ганс Даніэль Енсен,Ханс Йенсен,Johannes Hans Jensen,J. Hans D. Jensen,J. Hans D. Jensen,J. Hans D. Jensen,J. Hans D. Jensen,Ханс Йенсен,Johannes Hans Daniel Jensen,Hans Jensen,Ганс Єнсен,m
149,Фрыда Кало,Фрида Кало,Frida Kahlo,Frida Kahlo,Frida Kahlo,Frida Kahlo,Frida Kahlo,Фрида Кало,Frida Kahlo,Frida Kahlo,Фріда Кало,f
150,Сяргей Каралёў,Сергей Корольов,Serguei Koroliov,Sergej Koroljov,Sergei Korolev,Serguéi Koroliov,Siergiej Korolow,Сергей Королёв,Sergej Pavlovič Koroljov,Sergey Korolyov,Сергій Корольов,m
151,Рэйчэл Карсан,Рейчъл Карсън,Rachel Carson,Rachel Carsonová,Rachel Carson,Rachel Carson,Rachel Carson,Рейчел Карсон,Rachel Carson,Rachel Carson,Рейчел Карсон,f
152,Астрыд Ліндгрэн,Астрид Линдгрен,Astrid Lindgren,Astrid Lindgrenová,Astrid Lindgren,Astrid Lindgren,Astrid Lindgren,Астрид Линдгрен,Astrid Lindgren,Astrid Lindgren,Астрід Ліндґрен,f
153,Оскар Німеер,Оскар Нимайер,Oscar Niemeyer,Oscar Niemeyer,Oscar Niemeyer,Oscar Niemeyer,Oscar Niemeyer,Оскар Нимейер,Oscar Niemeyer,Oscar Niemeyer,Оскар Німеєр,m
154,Барбара Стэнвік,Барбара Стануик,Barbara Stanwyck,Barbara Stanwycková,Barbara Stanwyck,Barbara Stanwyck,Barbara Stanwyck,Барбара Стэнвик,Barbara Stanwyck,Barbara Stanwyck,Барбара Стенвік,f
155,Александэр Рабертус Тод,Александър Тод,Alexander Robertus Todd,Alexander Robertus Todd,Alexander R. Todd,Alexander Robert Todd,Alexander Todd,Александер Робертус Тодд,Alexander Robertus Todd,Alexander Todd,Александер Тодд,m
156,Джон Уэйн,Джон Уейн,John Wayne,John Wayne,John Wayne,John Wayne,John Wayne,Джон Уэйн,John Wayne,John Wayne,Джон Вейн,m
157,Кэтрын Хепбёрн,Катрин Хепбърн,Katharine Hepburn,Katharine Hepburnová,Katharine Hepburn,Katharine Hepburn,Katharine Hepburn,Кэтрин Хепбёрн,Katharine Hepburn,Katharine Hepburn,Кетрін Гепберн,f
158,Клаус Шэнк фон Штаўфенберг,Клаус фон Щауфенберг,Claus von Stauffenberg,Claus Schenk von Stauffenberg,Claus von Stauffenberg,Claus von Stauffenberg,Claus Schenk Graf von Stauffenberg,Клаус Шенк фон Штауффенберг,Claus von Stauffenberg,Claus von Stauffenberg,Клаус Шенк фон Штауффенберг,m
159,Мірча Эліядэ,Мирча Елиаде,Mircea Eliade,Mircea Eliade,Mircea Eliade,Mircea Eliade,Mircea Eliade,Мирча Элиаде,Mircea Eliade,Mircea Eliade,Мірча Еліаде,m
160,Хідэкі Юкава,Хидеки Юкава,Hideki Yukawa,Hideki Jukawa,Hideki Yukawa,Hideki Yukawa,Hideki Yukawa,Хидэки Юкава,Hideki Jukava,Hideki Yukava,Юкава Хідекі,m
161,Аліўе Месіян,Оливие Месиен,Olivier Messiaen,Olivier Messiaen,Olivier Messiaen,Olivier Messiaen,Olivier Messiaen,Оливье Мессиан,Olivier Messiaen,Olivier Messiaen,Олів'є Мессіан,m
162,Сальвадор Альендэ,Салвадор Алиенде,Salvador Allende Gossens,Salvador Allende,Salvador Allende,Salvador Allende,Salvador Allende,Сальвадор Альенде,Salvador Allende,Salvador Allende,Сальвадор Альєнде,m
163,Ханес Альфвен,Ханес Алфвен,Hannes Alfvén,Hannes Alfvén,Hannes Alfvén,Hannes Alfvén,Hannes Alfvén,Ханнес Альвен,Hannes Olof Gösta Alfvén,Hannes Alfvén,Ганнес Альвен,m
164,Віктар Амбарцумян,Виктор Амбарцумян,Víktor Ambartsumian,Viktor Amazaspovič Ambarcumjan,Viktor Ambartsumian,Víktor Hambardzumyan,Wiktor Ambarcumian,Виктор Амбарцумян,Viktor Amazaspovič Ambarcumjan,Viktor Ambartsumyan,Віктор Амбарцумян,m
165,Сімона дэ Бавуар,Симон дьо Бовоар,Simone de Beauvoir,Simone de Beauvoir,Simone de Beauvoir,Simone de Beauvoir,Simone de Beauvoir,Симона де Бовуар,Simone de Beauvoir,Simone de Beauvoir,Симона де Бовуар,f
166,Джон Бардзін,Джон Бардийн,John Bardeen,John Bardeen,John Bardeen,John Bardeen,John Bardeen,Джон Бардин,John Bardeen,John Bardeen,Джон Бардін,m
167,Джон Кенет Гелбрэйт,Джон Кенет Гълбрайт,John Kenneth Galbraith,John Kenneth Galbraith,John Kenneth Galbraith,John Kenneth Galbraith,John Kenneth Galbraith,Джон Кеннет Гэлбрейт,John Kenneth Galbraith,John Kenneth Galbraith,Джон Кеннет Ґелбрейт,m
168,Валянцін Глушко,Валентин Глушко,Valentín Gluixkó,Valentin Gluško,Valentin Glushko,Valentín Glushkó,Walentin Głuszko,Валентин Глушко,Valentin Petrovič Gluško,Valentin Gluşko,Валентин Глушко,m
169,Ліндан Джонсан,Линдън Джонсън,Lyndon Baines Johnson,Lyndon B. Johnson,Lyndon B. Johnson,Lyndon B. Johnson,Lyndon B. Johnson,Линдон Джонсон,Lyndon B. Johnson,Lyndon B. Johnson,Ліндон Джонсон,m
170,Герберт фон Караян,Херберт фон Караян,Herbert von Karajan,Herbert von Karajan,Herbert von Karajan,Herbert von Karajan,Herbert von Karajan,Герберт фон Караян,Herbert von Karajan,Herbert von Karajan,Герберт фон Караян,m
171,Леў Ландау,Лев Ландау,Lev Landau,Lev Davidovič Landau,Lev Landau,Lev Landáu,Lew Landau,Лев Ландау,Lev Davidovič Landau,Lev Landau,Лев Ландау,m
172,Клод Леві-Строс,Клод Леви-Строс,Claude Lévi-Strauss,Claude Lévi-Strauss,Claude Lévi-Strauss,Claude Lévi-Strauss,Claude Lévi-Strauss,Клод Леви-Стросс,Claude Lévi-Strauss,Claude Lévi-Strauss,Клод Леві-Строс,m
173,Джавані Леонэ,Джовани Леоне,Giovanni Leone,Giovanni Leone,Giovanni Leone,Giovanni Leone,Giovanni Leone,Джованни Леоне,Giovanni Leone,Giovanni Leone,Джованні Леоне,m
174,Давід Ойстрах,Давид Ойстрах,David Óistrakh,David Oistrach,David Oistrakh,David Óistraj,Dawid Ojstrach,Давид Ойстрах,David Ojstrah,David Oystrah,Давид Ойстрах,m
175,Мерсэ Радарэда,Мерсе Родореда,Mercè Rodoreda i Gurguí,Mercè Rodoreda,Mercè Rodoreda,Mercè Rodoreda,Mercè Rodoreda,Мерсе Родореда,Mercè Rodoreda,Mercè Rodoreda,Мерсе Родореда,m
176,Джозеф Ротблат,Юзеф Ротблат,Józef Rotblat,Józef Rotblat,Joseph Rotblat,Józef Rotblat,Józef Rotblat,Джозеф Ротблат,Joseph Rotblat,Joseph Rotblat,Юзеф Ротблат,m
177,Сібіла Саксен-Кобург-Гоцкая,Сибила Сакскобургготска,Sibil·la de Saxònia-Coburg Gotha,Sibyla Sasko-Kobursko-Gothajská,Princess Sibylla of Saxe-Coburg and Gotha,Sibila de Sajonia-Coburgo-Gotha,Sybilla Koburg,Сибилла Саксен-Кобург-Готская,Sibila Saško-Coburg-Gothska,Prenses Sibylla,Сибілла Саксен-Кобург-Готська,f
178,Тэйдзо Такэуці,Теизо Такеучи,Teizo Takeuchi,Teizó Takeuči,Teizo Takeuchi,Teizo Takeuchi,Teizō Takeuchi,Тэйдзо Такэути,Teizo Takeuči,Teizo Takeuchi,Такеуті Теідзо,m
179,Эдвард Тэлер,Едуард Телер,Edward Teller,Edward Teller,Edward Teller,Edward Teller,Edward Teller,Эдвард Теллер,Edward Teller,Edward Teller,Едвард Теллер,m
180,Дзмітрый Усцінаў,Дмитрий Устинов,Dmitri Ustínov,Dmitrij Fjodorovič Ustinov,Dmitry Ustinov,Dmitri Ustínov,Dmitrij Ustinow,Дмитрий Устинов,Dmitrij Fjodorovič Ustinov,Dmitri Ustinov,Дмитро Устинов,m
181,Амінторэ Фанфані,Аминторе Фанфани,Amintore Fanfani,Amintore Fanfani,Amintore Fanfani,Amintore Fanfani,Amintore Fanfani,Аминторе Фанфани,Amintore Fanfani,Amintore Fanfani,Амінторе Фанфані,m
182,Ян Флемінг,Иън Флеминг,Ian Lancaster Fleming,Ian Fleming,Ian Fleming,Ian Fleming,Ian Fleming,Ян Флеминг,Ian Fleming,Ian Fleming,Ян Флемінг,m
183,Ілья Франк,Иля Франк,Ilià Frank,Ilja Frank,Ilya Frank,Iliá Frank,Ilja Frank,Илья Франк,Ilja Mihajlovič Frank,İlya Frank,Ілля Франк,m
184,Энвер Ходжа,Енвер Ходжа,Enver Hoxha,Enver Hodža,Enver Hoxha,Enver Hoxha,Enver Hoxha,Энвер Ходжа,Enver Hoxha,Enver Hoca,Енвер Ходжа,m
185,Оскар Шындлер,Оскар Шиндлер,Oskar Schindler,Oskar Schindler,Oskar Schindler,Oskar Schindler,Oskar Schindler,Оскар Шиндлер,Oskar Schindler,Oskar Schindler,Оскар Шиндлер,m
186,Сцяпан Бандэра,Степан Бандера,Stepan Bandera,Stepan Bandera,Stepan Bandera,Stepán Bandera,Stepan Bandera,Степан Бандера,Stepan Bandera,Stepan Bandera,Степан Бандера,m
187,Ісая Берлін,Исая Бърлин,Isaiah Berlin,Isaiah Berlin,Isaiah Berlin,Isaiah Berlin,Isaiah Berlin,Исайя Берлин,Isaiah Berlin,Isaiah Berlin,Берлін Ісайя,m
188,Фрэнсіс Бэкан,Френсис Бейкън,Francis Bacon,Francis Bacon,Francis Bacon,Francis Bacon,Francis Bacon,Фрэнсис,Francis Bacon,Francis Bacon,Френсіс Бекон,m
189,Бені Гудмен,Бени Гудман,Benny Goodman,Benny Goodman,Benny Goodman,Benny Goodman,Benny Goodman,Бенни Гудмен,Benny Goodman,Benny Goodman,Бенні Гудмен,m
190,Эжэн Іанеска,Йожен Йонеско,Eugen Ionescu,Eugène Ionesco,Eugène Ionesco,Eugène Ionesco,Eugène Ionesco,Эжен Ионеско,Eugène Ionesco,Eugène Ionesco,Ежен Йонеско,m
191,Рыта Леві-Мантальчыні,Рита Леви-Монталчини,Rita Levi-Montalcini,Rita Leviová-Montalciniová,Rita Levi-Montalcini,Rita Levi-Montalcini,Rita Levi-Montalcini,Рита Леви-Монтальчини,Rita Levi-Montalcini,Rita Levi-Montalcini,Рита Леві-Монтальчині,f
192,Квамэ Нкрума,Кваме Нкрума,Kwame Nkrumah,Kwame Nkrumah,Kwame Nkrumah,Kwame Nkrumah,Kwame Nkrumah,Кваме Нкрума,Kwame Nkrumah,Kwame Nkrumah,Кваме Нкрума,f
193,У Тан,У Тан,U Thant,U Thant,U Thant,U Thant,U Thant,У Тан,U Tant,U Thant,У Тан,m
194,Жан Ануй,Жан Ануи,Jean Anouilh,Jean Anouilh,Jean Anouilh,Jean Anouilh,Jean Anouilh,Жан Ануй,Jean Anouilh,Jean Anouilh,Жан Ануй,m
